task,truth
Anwar al-Awlaki-Anwar al-Awlaki_undisclosedLink1,0
Kindle-Kindle_undisclosedLink0,0
Tim Morse-http://www.freebase.com/view/en/tim_morse,0
Yugoslavia-http://www.freebase.com/view/en/yugoslavia,1
Arabic-http://www.freebase.com/view/en/arabic_alphabet,0
Ireland-http://dbpedia.org/page/Ireland,1
London-London_undisclosedLink0,0
Qaeda-http://www.freebase.com/view/en/al-qaeda,1
Meeko Carraway-http://www.geonames.org/4150104/carraway.html,0
New York-http://www.freebase.com/view/en/new_york_mets,0
Nigerian-http://dbpedia.org/page/Senate_of_Nigeria,0
Jayampathy Wickramaratne-http://dbpedia.org/page/Hemantha_Wickramaratne,0
Rashed-http://dbpedia.org/page/Rashed_Khan,0
Russians-http://www.freebase.com/view/en/russians,1
Avenches-http://www.freebase.com/view/wikipedia/fr_id/93265,0
BMO Capital Markets-http://www.freebase.com/view/en/bmo_capital_markets,1
Howard County-http://dbpedia.org/page/Howard_County,0
S.-S._undisclosedLink1,0
Bronze Age-http://www.freebase.com/view/en/bronze_age,1
D.C. Superior Court-D.C. Superior Court_undisclosedLink0,0
Ma-http://dbpedia.org/page/.ma,0
Piper Jaffray-http://www.freebase.com/view/en/u_s_bancorp_piper_jaffray_inc,0
Bern-based-http://www.freebase.com/view/en/lotschberg_base_tunnel,0
NC-http://www.freebase.com/view/en/nordic_football_championship,0
Claire Dunn-http://www.freebase.com/view/en/claire_dunne,0
Saini-http://www.geonames.org/7974240/saini.html,0
Columbia-Columbia_undisclosedLink0,0
Federal Supreme Court-http://www.freebase.com/view/en/supreme_court_of_the_united_states,0
Balwa-http://www.geonames.org/1277504/balwa.html,0
Alpine-http://www.geonames.org/4830028/alpine.html,0
Mohammed al-Roken-http://dbpedia.org/page/Mohammed_Abdullah_al-Shahwani,0
RK Chandolia-http://dbpedia.org/page/RK,0
CNNMoney-CNNMoney_undisclosedLink3,0
Megan Buerger-http://dbpedia.org/page/BMegan,0
Friendship Heights-http://www.geonames.org/4760200/friendship-heights.html,0
Balwa-http://www.geonames.org/1459410/pa-in-balwa.html,0
Chinese Internet-Chinese Internet_undisclosedLink0,0
Domestic Violence Awareness Month-http://www.freebase.com/view/en/october,0
Abyan-Abyan_undisclosedLink0,0
Iranians-Iranians_undisclosedLink1,0
Sergio Ermotti-Sergio Ermotti_undisclosedLink0,0
Arabic-Arabic_undisclosedLink0,0
HTC-HTC_undisclosedLink0,0
Montgomery-Montgomery_undisclosedLink0,0
Claire Dunn-http://dbpedia.org/page/Dunn,0
Conspiracy Theories-http://www.freebase.com/view/en/conspiracy_fiction,0
Siemens-http://dbpedia.org/page/Siemens,1
Ahmed Mansoor-http://dbpedia.org/page/Mansoor_Ahmed,0
Sri Lanka-http://www.freebase.com/view/en/sri_lankan_cricket_team,0
Mohammed Jamjoom-http://www.freebase.com/view/en/cnn_international,0
Cairo-http://www.freebase.com/view/en/cairo,1
Arhab-http://www.geonames.org/78210/arhab.htmlAmbiguous,1
Joint Special Operations Command-http://dbpedia.org/page/Joint_Special_Operations_Command,1
CBI-http://www.freebase.com/view/en/cby,0
Microsoft-http://dbpedia.org/page/Microsoft,1
Norway-http://www.freebase.com/view/en/norway,1
BPL-http://www.freebase.com/view/wikipedia/images/commons_id/7702994,0
Egyptian-http://www.freebase.com/view/en/egyptians,1
Weaver-http://dbpedia.org/page/Weaver,0
U.S.-http://www.freebase.com/view/en/case_citation,0
Galaxy S II-http://www.freebase.com/view/wikipedia/en_title/Samsung_Galaxy_S_II,1
Ochsenbein-http://dbpedia.org/page/Ulrich_Ochsenbein,0
AQAP-http://www.freebase.com/view/m/0sgclf,0
Institute of Federalism-http://www.freebase.com/view/wikipedia/es_id/3146965,0
Corey Yates-http://www.geonames.org/4852663/corey.html,0
Tania Weaver-http://www.freebase.com/view/en/paulinho_da_costa,0
Richard Barrett-http://www.freebase.com/view/en/richard_barrett,0
Russell Price-http://www.freebase.com/view/en/russell_price,0
Celtic-http://www.freebase.com/view/en/celtic_fc,0
Souvenir-http://dbpedia.org/page/Souvenir,1
Conspiracy Theories-http://dbpedia.org/page/Conspiracy_theory,1
Sharad Kumar-http://dbpedia.org/page/Sharad,0
Paul R. La Monica-http://www.freebase.com/view/en/los_angeles,0
Lee & Hayes-http://dbpedia.org/page/Isaac_Hayes,0
Al-Marzooqi-http://dbpedia.org/page/Abdulla_Al_Marzooqi,0
Glenmont-http://www.freebase.com/view/en/edison_national_historic_site,0
HP-http://dbpedia.org/page/Hewlett-Packard,1
Armenian-http://www.freebase.com/view/en/armenian_language,0
Russians-http://dbpedia.org/page/Russians,1
Mueller-http://dbpedia.org/page/Otto_Friedrich_MMueller,0
Vienna-Vienna_undisclosedLink0,0
Corey Yates-http://dbpedia.org/page/Latif,0
Swiss-style-http://dbpedia.org/page/Swiss-system_tournament,0
Swan Telecom-http://www.freebase.com/view/en/etisalat,0
Tim Morse-http://dbpedia.org/page/Morse,0
Laden-http://www.freebase.com/view/wikipedia/en_title/Death_of_Osama_bin_Laden,0
trans-Atlantic-http://www.freebase.com/view/en/trans-atlantyk,0
Great Satan-http://www.freebase.com/view/en/great_satan,1
Zurich-based-http://www.geonames.org/5145326/zurich.html,0
North Carolina-http://dbpedia.org/page/North_Carolina,1
Below Poverty Line-http://dbpedia.org/page/Below_Poverty_Line_Tendulkar,1
Napoleon-http://dbpedia.org/page/Napoleon,1
Hutchinson Lane-http://www.geonames.org/4809613/hutchinson.html,0
Zug-Zug_undisclosedLink0,0
Agarwal-http://www.freebase.com/view/en/agrawal,0
Below Poverty Line-http://www.freebase.com/view/en/below_poverty_line,0
FaceTime-FaceTime_undisclosedLink1,0
Front Line Defenders-Front Line Defenders_undisclosedLink0,0
Hassan Ali-http://dbpedia.org/page/Ali_Hassan,0
Carlos Calderon Mejia-Carlos Calderon Mejia_undisclosedLink0,0
Sergio Ermotti-http://www.freebase.com/view/m/01ss8pj,0
Egypt-http://dbpedia.org/page/Thinis,0
Corey Yates-Corey Yates_undisclosedLink0,0
Detroit-http://www.geonames.org/4617921/detroit.html,0
Emma Brown-http://www.freebase.com/view/en/emma_brown,0
Sarah Jones-http://dbpedia.org/page/Sarah_Jones,0
California-http://www.freebase.com/view/en/university_of_california_berkeley,0
Zinjibar-http://dbpedia.org/page/Zinjibar,1
Saudi-born American-http://dbpedia.org/page/American_Born,0
Mansur Ali Khan Pataudi-http://dbpedia.org/page/Mansoor_Ali_Khan_Pataudi,1
Nasser-http://dbpedia.org/page/Gamal_Abdel_Nasser,0
Yugoslavia-http://dbpedia.org/page/Yugoslavia,1
Howard County-http://www.geonames.org/4921670/howard-county.html,0
Temps-Temps_undisclosedLink0,0
Nespresso-Nespresso_undisclosedLink0,0
Leibacher-http://www.geonames.org/6294406/leibacher.html,0
Alps-Alps_undisclosedLink0,0
Mueller-http://www.freebase.com/view/en/uwe_schmidt,0
Jawf-http://dbpedia.org/page/Al_Jawf,0
Twitter-Twitter_undisclosedLink0,0
Swiss-style-Swiss-style_undisclosedLink0,0
Web-http://dbpedia.org/page/WEB,0
Egypt-http://www.freebase.com/view/en/egypt,1
Shiite-http://dbpedia.org/page/Shi'a_clergy,0
Lewis Lee-http://dbpedia.org/page/Jerry_Lee_Lewis,0
Afghan-http://www.freebase.com/view/en/afghanistan,1
Florian Mueller-http://dbpedia.org/page/Florian_MRIM,1
Sunni-http://www.geonames.org/7067890/sunni.html,0
William Reinhard-http://dbpedia.org/page/William_Reinhard_of_Isenburg-WWilliam,0
Avenches-http://www.geonames.org/7285126/avenches.html,0
Swan Telecom-http://dbpedia.org/page/Emirates_Telecommunications_CorporationSwan,0
Fire-http://dbpedia.org/page/On_the_Fire,0
The Onion-http://www.freebase.com/view/en/the_onion,1
YHOO-http://dbpedia.org/page/Yahoo,1
Southeast-http://www.freebase.com/view/en/southeast_division,0
U.S.-http://dbpedia.org/page/List_of_belt_regions_of_the_United_States,0
Fribourg-http://www.geonames.org/7285870/fribourg.html,0
Reinhard-http://dbpedia.org/page/Wilhelm_Reinhard,0
Institute of Federalism-http://dbpedia.org/page/Instituto_Nacional_para_el_Federalismo_y_el_Desarrollo_Municipal,0
Facebook-http://www.freebase.com/view/en/facebook,1
Alexandriaís Domestic Violence Intervention Project-http://www.freebase.com/view/m/08rh17k,0
Munster-http://dbpedia.org/resource/Munster,0
FBI-http://www.freebase.com/view/en/federal_bureau_of_investigation,1
Minnesota-http://dbpedia.org/page/Minnesota,1
Mont Dolent-http://www.freebase.com/view/m/03gmn43,0
A Delhi-http://www.freebase.com/view/en/delhi,1
IMD-http://dbpedia.org/page/Joint_Functional_Component_Command_for_Integrated_Missile_Defense,0
Amazon-http://www.freebase.com/view/en/amazon_basin,0
Weaver-http://www.freebase.com/view/en/weaver,0
Fire is Wi-Fi-only-http://www.freebase.com/view/en/only_fire,0
Institute of Federalism-http://dbpedia.org/page/Federalism,0
Howard County-http://www.freebase.com/view/en/howard_county,1
Barack Obama-http://dbpedia.org/page/Barack_Obama_Barack,0
TouchPad-http://dbpedia.org/page/Capacitive_sensing,0
Roman-http://dbpedia.org/page/Roman,0
Montek Singh Ahluwalia-Montek Singh Ahluwalia_undisclosedLink1,0
Kindle-http://dbpedia.org/page/Amazon_Kindle,1
The Onion-http://www.freebase.com/view/wikipedia/en_title/The_Onion_Field_$0028film$0029,0
Saudi-born American-http://dbpedia.org/page/Saudi_American,0
Motorola-http://www.freebase.com/view/wikipedia/fr_id/4208241,0
St Bernard-http://www.freebase.com/view/en/st_bernard,0
Fakharany-Fakharany_undisclosedLink3,0
Jack Ma-http://www.freebase.com/view/wikipedia/images/commons_id/8017393,0
Conspiracy Theories-http://www.freebase.com/view/en/conspiracy_theory,1
Anwar Al-Awlaki-http://www.freebase.com/view/en/anwar_al-awlaki,1
Operation Troy-Operation Troy_undisclosedLink0,0
California-http://dbpedia.org/page/Have_One_on_Me,0
Kaspar Villiger-http://dbpedia.org/page/Kaspar_Villiger,1
Manmohan Singh-http://www.freebase.com/view/en/dr_manmohan_singh_scholarship,0
Banca Svizzera Italiana-http://dbpedia.org/page/Banca_della_Svizzera_Italiana,1
Ma-http://www.freebase.com/view/en/m_a,0
DMK-http://dbpedia.org/page/Dravida_Munnetra_Kazhagam,0
Hollywood-Hollywood_undisclosedLink0,0
Singapore-Singapore_undisclosedLink1,0
Federico Bragagnini-http://www.geonames.org/4029767/federico.html,0
English-speaking Muslims-http://dbpedia.org/page/List_of_converts_to_Islam,0
Ukrainian-http://www.freebase.com/view/lang/uk,0
China-http://www.freebase.com/view/en/a1_team_china,0
Kanimozhi-http://dbpedia.org/page/M._K._Kanimozhi,1
American-http://www.freebase.com/view/en/united_states,1
BPL-http://dbpedia.org/page/BPL_Group,0
Southeast-http://www.freebase.com/view/en/southeast_region_brazil,0
Abdul-Kareem Al-Marzooqi-http://dbpedia.org/page/Daif_Abdul-kareem_Al-Ghazal,0
Balwa-http://dbpedia.org/page/Shahid_Balwa,0
Planning Commission-http://www.freebase.com/view/en/planning_commission_of_india,1
United Nations General Assembly-http://www.freebase.com/view/en/united_nations_general_assembly,1
John D. Sutter-http://dbpedia.org/page/John_Sutter,0
Mohammad Akbar Lone-http://www.freebase.com/view/wikipedia/en_title/Mohammad_Akbar_Lone,1
Romans-http://www.freebase.com/view/en/ancient_rome,0
Souvenir-http://www.freebase.com/view/en/souvenirs,0
RIMM-http://www.freebase.com/view/en/rdram,0
Meeko Carraway-http://dbpedia.org/page/Pocahontas_Meeko,0
Arabian Peninsula-Arabian Peninsula_undisclosedLink0,0
Friendship Heights-http://www.geonames.org/4355717/friendship-heights.html,0
Finnish-http://dbpedia.org/page/Finnish,1
Bern-based-http://dbpedia.org/page/Bern,1
Alfredo Gysi-http://www.freebase.com/view/m/0g5tkqg,0
Reinhard-http://www.freebase.com/view/en/reinhard_mey,0
India Meteorological Department-http://www.freebase.com/view/en/india_meteorological_department,1
Roman-http://www.freebase.com/view/en/roman_empire,0
ALU-http://www.geonames.org/8143/-alu.html,0
Yahoo-http://dbpedia.org/page/Yahoo,1
Celtic-http://www.freebase.com/view/en/celt,0
New Yorkís-http://dbpedia.org/page/Turn_on_the_Bright_Lights,0
Arabic Network for Human Rights Information-http://dbpedia.org/page/Child_Rights_Information_Network,0
Chamontae Walker-http://www.freebase.com/view/m/037z3ll,0
Nepal-http://www.freebase.com/view/en/nepal_time,0
Celtic-http://www.geonames.org/7506475/celtic.html,0
Hewlett-Packard-http://www.freebase.com/view/en/hewlett-packard,1
Twinbrook-http://dbpedia.org/page/Twinbrook,0
YHOO-YHOO_undisclosedLink0,0
Kaspar Villiger-http://www.freebase.com/view/wikipedia/images/commons_id/2580450,0
Manmohan Singh-http://www.freebase.com/view/wikipedia/en_title/Manmohan_Singh_$0028director$0029,0
La LibertÈ-http://dbpedia.org/page/La,0
Italy-http://www.freebase.com/view/en/kingdom_of_italy,0
Al-Marzooqi-http://dbpedia.org/page/Al_Marzooqi,0
Germany-http://www.freebase.com/view/en/german_football_association,0
Spain-http://www.freebase.com/view/en/spain,1
Yahoo-http://www.freebase.com/view/business/cik/0001011006,1
Peace Talks-http://www.freebase.com/view/en/2006_2007_juba_talks,0
Hollywood-http://www.freebase.com/view/en/hollywood,1
Yahoo-Yahoo_undisclosedLink0,0
United Nations-United Nations_undisclosedLink0,0
Motorola Mobility-http://dbpedia.org/page/Motorola,0
Vanuatu-http://www.freebase.com/view/en/vanuatu_football_federation,0
HP-http://dbpedia.org/page/Harry_Potter_and_the_Deathly_Hallows,0
Moulvi Iftikhar Hussain-http://dbpedia.org/page/Iftikhar_Hussain_Shah,0
AAPL-http://dbpedia.org/page/History_of_Apple_Inc.AAPL,0
Southeast-http://dbpedia.org/page/Southeast,0
Maryland State Department of Education-http://www.geonames.org/6341551/maryland-department-of-state-police.html,0
Yemeni-Yemeni_undisclosedLink0,0
U.N.-http://dbpedia.org/page/United_Nations,1
Hosni Mubarak-http://data.nytimes.com/64604503528392632533,1
BC-http://dbpedia.org/page/BitComet,0
Geneva-based-http://www.freebase.com/view/user/jamie/wordnet/synset/108486971,0
Raja-http://dbpedia.org/page/A._Raja,1
CIA-http://www.freebase.com/view/en/central_intelligence_agency,1
Arabic-http://dbpedia.org/page/Arabic_language,1
NC-http://www.freebase.com/view/en/nc,0
Ukrainian-http://www.freebase.com/view/en/ukrainians,1
Madrid-http://dbpedia.org/page/Madrid,1
Kashmir-http://dbpedia.org/page/Kashmir,1
Al Qaeda-http://www.freebase.com/view/en/al_qaeda_safe_house,0
Hassan Ali-http://dbpedia.org/page/Hasan_Ali_Khan,0
Barbara Starr-Barbara Starr_undisclosedLink0,0
Susan Vogel-Misicka-http://dbpedia.org/page/Sue_McLeish,0
Google-Google_undisclosedLink0,0
Avenches-http://www.freebase.com/view/en/avenches,1
Ibrahim Hasan al-Asiri-http://dbpedia.org/page/Khalid_al-Asiri,1
Fort Totten-http://dbpedia.org/page/Fort_Totten,0
Mansur Ali Khan Pataudi-http://dbpedia.org/page/Sher_Ali_Khan_(general),0
Patricia Sullivan-http://www.freebase.com/view/m/05v_747,0
BPL-http://dbpedia.org/page/BPL,1
Austria-http://www.freebase.com/view/en/fk_austria_wien,0
Baltimore-http://www.geonames.org/4283088/baltimore.html,0
Caesar-http://www.geonames.org/4678033/caesar.html,0
Great St Bernard Pass-http://dbpedia.org/page/St_Bernard_Pass,0
Moulvi Iftikhar Hussain-Moulvi Iftikhar Hussain_undisclosedLink0,0
John D. Sutter-John D. Sutter_undisclosedLink0,0
English-language-http://data.nytimes.com/2381080212013846600,1
TouchPad-http://dbpedia.org/page/HP_TouchPad,0
Lee & Hayes-http://www.freebase.com/view/en/lee_elhardt_hays,0
Naylor Road-http://www.geonames.org/4363538/naylor-road-metro-station.html,1
RIMM-http://www.freebase.com/view/en/sylvia_b_rimm,0
Washington-http://www.freebase.com/view/en/washington_wizards,0
Hamid Karzai-http://www.freebase.com/view/wikipedia/images/commons_id/1218981,0
Conspiracy Theories-Conspiracy Theories_undisclosedLink0,0
Patricia Sullivan-http://www.freebase.com/view/en/patty_sullivan,0
Pasquarella-Pasquarella_undisclosedLink3,0
Jennie Pasquarella-http://www.freebase.com/view/en/pasquarella,0
Joint Special Operations Command-http://dbpedia.org/page/Joint_Operations_Command,0
Hosni Mubarak-http://www.freebase.com/view/wikipedia/en_title/Mubarak_era,0
Pakistani-http://dbpedia.org/page/Demographics_of_Pakistan,0
Alibaba-owned-Alibaba-owned_undisclosedLink1,0
Naylor Road-http://dbpedia.org/page/Naylor_Road_Shady,1
Alibaba Group-Alibaba Group_undisclosedLink0,0
Nokia-http://www.geonames.org/644451/nokia.html,0
Tamil-http://dbpedia.org/page/Tamil,0
Amazon-http://dbpedia.org/page/Amazon,0
Skype-style-http://dbpedia.org/page/Skype_security,0
Friendship Heights-http://dbpedia.org/page/Friendship_Heights,1
Afghanistanís Leaders Sour-http://www.geonames.org/2532392/sour.html,0
Great Satan-Great Satan_undisclosedLink0,0
Cineyug Films-http://www.freebase.com/view/wikipedia/en_title/2G_spectrum_scam,0
Motorola-http://www.freebase.com/view/en/motorola_68000,0
UAE-http://dbpedia.org/page/United_Arab_Emirates,1
Greek-http://www.freebase.com/view/en/greek_language,0
India-http://www.freebase.com/view/en/british_raj,0
Mohammed Basha-http://dbpedia.org/page/Basha,0
Commission-Commission_undisclosedLink0,0
Patricia Sullivan-http://www.freebase.com/view/user/hangy/viaf/28726961,0
Mohammed-Mohammed_undisclosedLink0,0
Napoleon-Napoleon_undisclosedLink1,0
Times Square-http://www.geonames.org/5141023/times-square.html,1
Apple Store-http://www.freebase.com/view/en/apple_inc,0
Kennedy-Kennedy_undisclosedLink0,0
Nepal-Nepal_undisclosedLink0,0
Sinhalese-Sinhalese_undisclosedLink1,0
NC-http://dbpedia.org/page/.nc,0
CNNMoney-CNNMoney_undisclosedLink1,0
Spokane-Spokane_undisclosedLink0,0
S. Randolph Sengel-http://dbpedia.org/page/Randolph_Sinks_Foster,0
New Mexico-http://dbpedia.org/page/Santa_Fe_de_Nuevo_MNew,0
George Clooney-George Clooney_undisclosedLink0,0
Jayampathy Wickramaratne-http://www.freebase.com/view/en/eran_wickramaratne,0
Swiss Alpine Club-http://dbpedia.org/page/Swiss_Alpine_Club,1
Elkridge-http://www.geonames.org/4354256/elkridge.html,1
Samir Khan-http://www.freebase.com/view/en/samir_khan,1
CNN-CNN_undisclosedLink0,0
Fort Totten-http://www.freebase.com/view/wikipedia/en_title/Fort_Totten_$0028WMATA_station$0029,1
Conspiracy Theories-Conspiracy Theories_undisclosedLink1,0
Federal Supreme Court-http://www.freebase.com/view/en/supreme_federal_tribunal,0
Muslims-http://www.freebase.com/view/en/muslim,1
Abdul-Kareem Al-Marzooqi-http://dbpedia.org/page/Al_Marzooqi,1
Naylor Road-http://www.geonames.org/7156521/naylor-road-school.html,0
Qaeda-http://www.freebase.com/view/en/al_qaeda_safe_house,0
Samsung-http://www.freebase.com/view/en/samsung_electronics,0
Americas-http://www.freebase.com/view/en/united_states,0
Armenian-http://www.freebase.com/view/en/armenians,1
Hussain-http://dbpedia.org/page/Hussein,0
Domestic Violence Awareness Month-http://dbpedia.org/page/Domestic_violence,0
Alibaba-http://www.freebase.com/view/wikipedia/en_title/Alibaba_Group,1
Sony-http://www.freebase.com/view/en/sony_bmg_music_entertainment,0
Stanford-http://www.geonames.org/4877413/stanford.html,0
Alexandriaís Domestic Violence Intervention Project-http://dbpedia.org/page/Duluth_model,0
Southern Avenue-http://dbpedia.org/page/Southern_Avenue_(WMATA_station),0
United Nations-http://www.freebase.com/view/base/unitednations/united_nations_resolution,0
D.C. Superior Court-http://www.freebase.com/view/en/washington_united_states,0
Times Square-http://dbpedia.org/page/Times_Square,1
Karim Morani-http://www.geonames.org/1419219/morani.html,0
Florian Mueller-Florian Mueller_undisclosedLink0,0
Raja-http://www.freebase.com/view/biology/itis/160846,0
RK Chandolia-http://dbpedia.org/page/RK_Bosna_Sarajevo,0
U.S. State Department-http://dbpedia.org/page/Georgia_Department_of_Transportation,0
Lugano-born Ermotti-http://www.geonames.org/7286383/lugano.html,0
Sri Lankaís-http://dbpedia.org/page/Sri,0
CNN Wire-http://www.freebase.com/view/en/news_agency,0
Ukrainian-http://www.freebase.com/view/en/ukrainian_language,0
Sony-http://www.freebase.com/view/en/sony_music_entertainment,0
Afghanistanís Leaders Sour-Afghanistanís Leaders Sour_undisclosedLink0,0
Las Cruces-http://www.geonames.org/5475352/las-cruces.html,1
Pakistan-http://dbpedia.org/page/Pakistan,1
Southern Avenue-http://www.freebase.com/view/wikipedia/en_title/Southern_Avenue_$0028Washington$002C_D$002EC$002E$0029,1
Emma Brown-http://www.freebase.com/view/wikipedia/en_title/Emma_Brown,0
Russell Price-Russell Price_undisclosedLink0,0
Tamil-http://www.freebase.com/view/en/tamil_language,0
Taliban-http://www.geonames.org/320635/taliban.html,0
Caesar-Caesar_undisclosedLink0,0
Montagnola-http://www.geonames.org/3173105/montagnola.html,0
Takoma-http://www.geonames.org/7324349/takoma.html,0
Apple-http://dbpedia.org/page/Apple_Apple,0
CNN Wire-http://www.freebase.com/view/en/u-wire,0
Detroit-Detroit_undisclosedLink0,0
Mohammed Jamjoom-http://dbpedia.org/page/Muhammad,0
Maryland-Maryland_undisclosedLink0,0
Federico Bragagnini-http://www.geonames.org/3558982/federico.html,0
Arhab-http://www.geonames.org/173010/arhab.html,0
Mountain View-http://www.geonames.org/4815999/mountain-view.html,0
Operation Troy-http://dbpedia.org/page/Troy,0
Kindle Fire-http://www.freebase.com/view/wikipedia/en_title/Kindle_Fire,1
Sikkim-http://www.freebase.com/view/en/sikkimese_language,0
China-http://www.freebase.com/view/en/china,1
Samir Khan-http://dbpedia.org/page/Samir_Azzouz,0
Institute of Federalism-http://www.freebase.com/view/en/buenos_aires,0
Mountain View-http://www.geonames.org/4816001/mountain-view.html,0
Maryland State Department of Education-http://www.geonames.org/6341701/maryland-department-of-state-police.html,0
Wael Fakharany-http://dbpedia.org/page/Wael_Hallaq,0
Apple Store-http://www.freebase.com/view/en/apple_store,1
Elkridge-http://www.geonames.org/4805067/elkridge.html,0
Ahmed Mansoor-http://www.freebase.com/view/en/ahmed_mansoor,0
Marib-http://dbpedia.org/page/MaTribesmen,1
FBI-http://www.freebase.com/view/en/f_b_i,0
Leibacher-http://www.freebase.com/view/en/89956_leibacher,0
Muslims-Muslims_undisclosedLink1,0
Jawf-http://www.geonames.org/30643/al-jawf.html,1
Jammu-http://www.freebase.com/view/en/jammu,1
Axel Weber-http://dbpedia.org/page/Axel_Weber,0
American-born-http://dbpedia.org/page/American_Born,0
Barack Obama-http://dbpedia.org/page/Barack_Obama_,0
Ibrahim Hasan al-Asiri-http://www.geonames.org/6818023/qaryat-ibrahim-al-hasan.html,0
Germans-http://dbpedia.org/page/Germans,1
AQAP-http://dbpedia.org/page/Al-Qaeda_in_the_Arabian_Peninsula,1
Nespresso-Nespresso_undisclosedLink1,0
Microsoft-http://dbpedia.org/page/Microsoft_codename_,0
American-http://dbpedia.org/page/The_American,0
David Goldman-http://www.freebase.com/view/m/0h2wmxt,0
Amazon Prime-http://www.freebase.com/view/en/amazon_com,0
Abu Suhail-http://dbpedia.org/page/Suhail,0
YORK-http://dbpedia.org/page/York,0
Afghan-http://dbpedia.org/page/Afghan,0
Iranians-Iranians_undisclosedLink0,0
Wall Street Journal-Wall Street Journal_undisclosedLink1,0
Forest Glen-http://dbpedia.org/page/Forest_Glen,0
Mark Milian-http://dbpedia.org/page/M._L._Andreasen,0
Joint Special Operations Command-Joint Special Operations Command_undisclosedLink0,0
Corey Yates-http://www.freebase.com/view/en/american_idol_season_4,0
Yahoo-http://www.freebase.com/view/en/yahoo_news,0
New Yorkís-http://dbpedia.org/page/Into_the_New,0
Spain-http://dbpedia.org/page/SpainWhere,1
Lewis Lee-http://dbpedia.org/page/Lewis_G._Lee,0
Grosvenor-http://www.freebase.com/view/en/grovesnor,0
Sal Guatieri-http://dbpedia.org/page/The_Howard_Stern_Show_staffSal,0
Forest Glen-http://www.geonames.org/4920401/forest-glen.html,0
GOOG-http://www.freebase.com/view/en/google,1
Columbia-Columbia_undisclosedLink1,0
