question,worker,answer
215,43,12
216,43,2
217,43,12
218,43,145
219,43,38
220,43,38
221,43,93
222,43,136
223,43,93
224,43,38
225,43,93
226,43,97
227,43,3
228,43,93
229,43,15
230,43,145
231,43,93
232,43,93
233,43,93
234,43,38
235,43,97
236,43,93
237,43,97
238,43,97
239,43,38
240,43,93
241,43,12
242,43,136
243,43,136
244,43,136
245,43,15
246,43,38
247,43,38
248,43,38
249,43,93
250,54,12
251,54,12
252,54,12
253,54,8
254,54,122
255,52,17
256,52,119
257,52,38
258,52,38
259,52,97
260,52,83
261,52,83
262,52,38
263,52,38
264,54,96
265,54,115
266,61,7
267,61,149
268,61,149
269,61,149
270,61,148
271,61,135
272,52,70
273,60,135
274,60,135
275,60,10
276,60,148
277,60,11
278,60,10
279,60,135
280,60,148
281,60,148
282,60,5
283,60,125
284,67,131
285,67,131
286,67,148
287,67,95
288,67,138
289,67,95
290,67,120
291,67,12
292,67,125
293,67,127
294,68,117
295,68,119
296,68,73
297,68,123
298,68,140
299,68,140
300,68,145
301,68,72
302,68,117
303,68,71
304,68,5
305,72,6
306,72,6
307,72,145
308,72,93
309,76,93
310,76,140
311,76,39
312,76,6
313,76,11
314,76,11
315,76,6
316,76,2
317,76,9
318,76,2
319,76,93
320,67,117
321,67,147
322,67,105
323,79,3
324,79,38
325,79,79
326,79,93
327,78,93
328,78,2
329,78,2
330,78,103
331,78,2
332,78,2
333,78,2
334,78,2
335,78,2
336,78,38
337,78,38
338,78,70
339,78,93
340,78,2
341,78,109
342,78,69
343,78,2
344,78,93
345,78,2
346,78,2
347,78,2
348,78,2
349,78,93
350,78,2
351,78,2
352,78,94
353,78,97
354,97,149
355,97,119
356,97,133
357,97,131
358,97,133
359,97,141
360,97,131
361,97,131
362,97,149
363,98,38
364,80,3
365,98,11
366,97,129
367,97,129
368,97,132
369,98,18
370,98,38
371,98,38
372,98,38
373,98,70
374,98,38
375,98,94
376,98,103
377,97,142
378,97,132
379,97,93
380,98,19
381,98,3
382,98,94
383,98,3
384,98,38
385,98,11
386,98,94
387,98,89
388,97,142
389,97,141
390,97,131
391,105,2
392,105,2
393,105,2
394,105,6
395,105,145
396,105,6
397,105,2
398,105,2
399,105,2
400,105,2
401,105,2
402,105,145
403,105,2
404,105,2
405,105,2
406,105,93
407,105,93
408,105,145
409,105,145
410,105,2
411,105,93
412,105,2
413,105,2
414,105,145
415,105,2
416,105,2
417,105,145
418,105,2
419,105,145
420,105,145
421,105,129
422,105,2
423,105,145
424,105,2
425,105,2
426,105,2
427,112,149
428,112,149
429,112,131
430,112,96
431,112,123
432,112,149
433,112,149
434,116,129
435,116,144
436,116,131
437,116,129
438,116,133
439,116,132
440,116,132
441,116,129
442,116,139
443,116,133
444,116,139
445,116,129
446,4,2
447,124,6
448,124,6
449,124,6
450,124,93
451,124,132
452,124,6
453,124,6
454,124,136
455,124,6
456,124,6
457,124,142
458,124,142
459,124,93
460,124,136
461,124,6
462,124,93
463,124,142
464,124,136
465,124,2
466,124,6
467,124,2
468,124,145
469,124,142
470,124,131
471,124,132
472,124,142
473,124,133
474,124,133
475,124,133
476,124,93
477,124,133
478,124,129
479,124,131
480,124,2
481,126,8
482,126,115
483,131,140
484,131,142
485,131,101
486,131,8
487,131,131
488,131,144
489,131,131
490,131,144
491,131,116
492,131,147
493,131,8
494,131,117
495,131,148
496,131,131
497,131,139
498,131,144
499,131,133
500,131,117
501,131,101
502,131,99
503,131,139
504,131,7
505,131,114
506,131,143
507,131,148
508,131,138
509,131,139
510,131,140
511,131,133
512,131,143
513,131,138
514,131,138
515,136,129
516,136,129
517,136,129
518,136,129
519,136,129
520,136,129
521,136,129
522,136,129
523,136,129
524,136,129
525,136,129
526,136,129
527,136,129
528,136,129
529,136,129
530,136,129
531,139,132
532,139,131
533,139,131
534,139,133
535,141,5
536,141,108
537,141,15
538,141,15
539,141,11
540,141,131
541,141,104
542,141,106
543,149,2
544,149,133
545,149,132
546,149,132
547,149,2
548,149,134
549,149,2
550,149,133
551,149,2
552,149,132
553,149,133
554,149,6
555,149,6
556,149,7
557,149,6
558,149,132
559,149,132
560,149,132
561,153,132
562,153,134
563,153,134
564,153,134
565,153,141
566,153,141
567,153,135
568,153,133
569,153,141
570,153,135
571,153,141
572,153,141
573,153,141
574,157,6
575,157,38
576,157,38
577,157,48
578,157,6
579,157,71
580,157,70
581,160,15
582,160,2
583,160,2
584,160,93
585,160,2
586,160,2
587,159,21
588,159,113
589,159,37
590,159,37
591,159,12
592,159,75
593,159,86
594,159,3
595,173,3
596,173,38
597,173,38
598,173,3
599,173,38
600,173,38
601,173,38
602,173,38
603,173,38
604,173,38
605,173,3
606,173,38
607,173,3
608,173,3
609,173,3
610,173,38
611,173,38
612,173,38
613,173,38
614,173,97
615,173,3
616,173,3
617,173,97
618,173,3
619,173,3
620,173,3
621,173,38
622,173,3
623,173,38
624,173,3
625,173,38
626,173,38
627,178,131
628,178,125
629,178,7
630,178,16
631,178,139
632,178,135
633,178,109
634,178,117
635,178,122
636,178,13
637,178,144
638,178,121
639,178,132
640,178,115
641,178,10
642,178,143
643,178,133
644,178,15
645,178,13
646,178,127
647,178,110
648,178,141
649,178,138
650,178,117
651,178,120
652,178,134
653,178,123
654,178,110
655,178,106
656,178,132
657,178,104
658,178,138
659,178,144
660,178,116
661,178,148
662,184,133
663,184,131
664,184,94
665,184,15
666,184,9
667,184,3
668,184,100
669,184,133
670,184,133
671,184,3
672,184,15
673,184,15
674,184,15
675,187,17
676,187,120
677,187,138
678,187,43
679,187,52
680,187,148
681,187,146
682,187,5
683,187,140
684,187,47
685,187,119
686,187,143
687,192,97
688,192,58
689,192,110
690,183,2
691,183,141
692,183,136
693,183,142
694,198,19
695,198,39
696,198,17
697,198,15
698,198,145
699,198,15
700,198,15
701,198,3
702,198,3
703,198,83
704,198,83
705,198,38
706,198,97
707,202,140
708,202,141
709,202,131
710,202,148
711,202,131
712,202,148
713,202,144
714,202,147
715,202,141
716,202,131
717,202,148
718,202,134
719,202,148
720,202,137
721,202,135
722,202,144
723,202,123
724,202,133
725,202,148
726,202,148
727,202,144
728,202,141
729,206,84
730,206,11
731,206,132
732,206,140
733,206,141
734,206,144
735,207,19
736,207,6
737,207,16
738,207,79
739,207,17
740,207,19
741,207,3
742,207,3
743,207,3
744,207,3
745,207,69
746,207,73
747,207,79
748,207,69
749,211,125
750,211,62
751,211,148
752,212,144
753,212,121
754,216,132
755,216,133
756,216,134
757,216,136
758,216,129
759,216,138
760,216,27
761,216,28
762,216,10
763,218,149
764,218,132
765,218,149
766,218,134
767,218,135
768,218,134
769,218,135
770,218,133
771,218,141
772,218,133
773,218,129
774,218,133
775,218,134
776,218,133
777,223,3
778,223,4
779,223,15
780,223,6
781,223,38
782,223,97
783,223,129
784,223,12
785,223,3
786,226,16
787,226,140
788,226,8
789,226,16
790,226,44
791,226,144
792,226,16
793,226,148
794,226,118
795,226,144
796,226,117
797,226,16
798,226,16
799,226,16
800,226,140
801,226,144
802,226,118
803,219,26
804,219,101
805,219,89
806,219,115
807,219,96
808,219,57
809,219,117
810,219,126
811,219,53
812,219,102
813,219,20
814,234,131
815,234,129
816,234,148
817,234,140
818,234,144
819,234,129
820,234,129
821,234,148
822,234,129
823,234,119
824,234,118
825,234,149
826,234,148
827,234,148
828,234,129
829,234,144
830,234,140
831,234,141
832,234,148
833,234,133
834,234,131
835,234,131
836,234,9
837,234,131
838,234,133
839,234,131
840,234,131
841,234,131
842,237,3
843,237,64
844,237,3
845,237,3
846,237,3
847,237,93
848,237,69
849,237,38
850,237,38
851,237,3
852,237,93
853,237,97
854,237,97
855,240,131
856,240,16
857,240,132
858,240,9
859,245,132
860,245,149
861,245,142
862,245,132
863,245,133
864,245,132
865,245,135
866,245,149
867,245,132
868,245,132
869,245,135
870,245,133
871,245,134
872,245,134
873,245,131
874,245,133
875,245,132
876,245,133
877,245,132
878,245,133
879,245,133
880,245,134
881,245,131
882,245,129
883,245,133
884,248,148
885,248,43
886,248,5
887,248,148
888,248,119
889,254,133
890,254,20
891,254,3
892,254,120
893,254,15
894,254,38
895,254,15
896,254,97
897,254,12
898,254,10
899,254,18
900,254,3
901,254,4
902,254,15
903,254,15
904,254,15
905,254,38
906,254,3
907,254,12
908,254,97
909,258,16
910,258,117
911,258,138
912,258,131
913,258,142
914,258,9
915,258,11
916,258,144
917,259,6
918,259,2
919,262,3
920,262,2
921,262,136
922,262,6
923,262,6
924,262,93
925,262,93
926,262,6
927,262,6
928,262,2
929,262,120
930,262,2
931,262,6
932,262,6
933,262,6
934,262,2
935,262,6
936,262,93
937,262,6
938,270,129
939,270,129
940,270,129
941,270,129
942,270,129
943,270,129
944,270,129
945,270,129
946,270,129
947,270,129
948,270,129
949,270,129
950,270,129
951,270,129
952,270,129
953,270,148
954,270,129
955,270,129
956,270,129
957,270,129
958,270,129
959,270,129
960,270,129
961,270,129
962,270,129
963,281,16
964,281,16
965,281,16
966,281,16
967,281,16
968,281,16
969,281,16
970,281,16
971,281,16
972,281,16
973,281,16
974,281,16
975,281,16
976,281,16
977,286,2
978,286,6
979,286,38
980,286,6
981,286,6
982,286,2
983,286,2
984,286,93
1,2,7
2,2,15
3,2,7
4,2,10
5,2,11
6,2,132
7,2,10
8,2,142
9,2,6
10,2,12
11,2,143
12,2,38
13,4,7
14,4,6
15,4,6
16,4,6
17,4,6
18,4,6
19,4,6
20,4,6
21,4,6
22,4,6
23,4,6
24,4,6
25,6,147
26,6,147
27,6,148
28,6,148
29,6,148
30,6,148
31,6,147
32,6,147
33,6,5
34,6,148
35,6,148
36,6,148
37,5,145
38,5,145
39,5,12
40,6,147
41,5,6
42,5,146
43,6,148
44,5,145
45,5,6
46,5,6
47,5,2
48,5,2
49,5,11
50,5,145
51,4,6
52,4,7
53,4,6
54,4,6
55,4,6
56,4,6
57,4,10
58,4,6
59,4,6
60,4,6
61,9,140
62,9,144
63,8,55
64,8,148
65,8,148
66,8,9
67,8,147
68,8,143
69,8,143
70,8,45
71,10,6
72,10,11
73,22,2
74,22,149
75,22,131
76,22,97
77,22,15
78,22,122
79,22,15
80,22,2
81,22,2
82,22,2
83,22,2
84,22,2
85,23,102
86,23,117
87,23,148
88,23,131
89,23,9
90,23,137
91,23,118
92,23,73
93,23,131
94,23,54
95,23,147
96,23,85
97,23,131
98,23,133
99,23,16
100,23,10
101,23,32
102,23,131
103,23,44
104,23,46
105,23,104
106,23,131
107,23,134
108,23,9
109,9,129
110,9,11
111,9,43
112,9,131
113,9,132
114,9,10
115,9,149
116,9,16
117,9,17
118,1,129
119,1,16
120,1,43
121,11,38
122,11,3
123,11,123
124,11,132
125,11,38
126,11,122
127,11,11
128,11,3
129,11,109
130,11,83
131,11,83
132,11,133
133,22,3
134,22,2
135,32,129
136,32,129
137,22,15
138,22,15
139,22,93
140,22,70
141,32,91
142,32,117
143,22,93
144,22,2
145,32,129
146,22,97
147,32,129
148,32,131
149,32,129
150,32,132
151,28,6
152,32,131
153,32,131
154,32,129
155,32,129
156,32,129
157,32,129
158,32,131
159,32,129
160,32,129
161,32,129
162,32,129
163,32,129
164,32,129
165,32,129
166,32,129
167,32,129
168,22,2
169,33,2
170,22,93
171,22,6
172,22,6
173,33,6
174,33,142
175,33,133
176,33,136
177,33,133
178,33,129
179,33,131
180,33,145
181,33,2
182,33,131
183,33,129
184,33,131
185,33,136
186,38,6
187,33,133
188,33,132
189,33,133
190,33,136
191,33,129
192,33,131
193,33,145
194,35,2
195,35,93
196,35,93
197,35,93
198,35,6
199,35,6
200,38,2
201,43,131
202,33,131
203,23,2
204,43,93
205,43,97
206,26,93
207,26,142
208,26,93
209,26,132
210,26,145
211,26,136
212,26,136
213,26,142
214,26,149
215,26,136
216,26,136
217,26,134
218,26,133
219,45,131
220,45,147
221,45,129
222,45,9
223,45,133
224,45,138
225,45,131
226,45,132
227,54,103
228,45,131
229,34,15
230,45,129
231,45,133
232,54,130
233,54,42
234,45,132
235,45,149
236,45,129
237,45,137
238,45,131
239,54,74
240,54,148
241,54,11
242,54,10
243,54,12
244,54,7
245,54,10
246,52,3
247,54,148
248,54,7
249,54,95
250,52,38
251,52,11
252,52,38
253,52,38
254,52,123
255,61,9
256,61,147
257,61,8
258,61,132
259,61,148
260,61,10
261,61,144
262,54,15
263,61,133
264,61,11
265,61,9
266,60,5
267,60,135
268,60,5
269,60,133
270,60,13
271,60,5
272,60,5
273,68,71
274,67,148
275,68,8
276,68,147
277,68,140
278,68,144
279,68,17
280,68,117
281,68,9
282,68,9
283,68,137
284,65,131
285,65,134
286,65,133
287,65,133
288,65,132
289,65,133
290,65,149
291,65,133
292,65,132
293,65,131
294,72,142
295,72,136
296,72,136
297,72,6
298,72,6
299,72,6
300,72,6
301,72,6
302,72,6
303,72,6
304,72,93
305,76,142
306,76,141
307,76,143
308,76,124
309,67,147
310,67,148
311,67,119
312,67,133
313,67,15
314,67,15
315,67,15
316,67,110
317,67,120
318,67,119
319,67,18
320,77,38
321,77,2
322,78,93
323,78,93
324,78,2
325,78,2
326,78,2
327,77,2
328,77,38
329,77,2
330,77,2
331,79,133
332,79,6
333,8,131
334,80,122
335,83,8
336,83,141
337,79,145
338,79,2
339,79,3
340,80,69
341,83,76
342,95,106
343,83,4
344,95,132
345,97,131
346,97,129
347,97,129
348,95,148
349,83,148
350,95,9
351,95,132
352,83,72
353,83,105
354,98,19
355,98,69
356,98,93
357,98,38
358,98,38
359,98,38
360,98,38
361,98,3
362,98,19
363,80,38
364,98,93
365,97,133
366,98,3
367,98,3
368,98,3
369,97,132
370,97,135
371,97,141
372,97,93
373,97,136
374,97,133
375,97,134
376,97,133
377,98,18
378,98,38
379,98,70
380,97,142
381,97,145
382,97,129
383,97,129
384,97,136
385,97,132
386,97,135
387,97,145
388,105,2
389,105,93
390,105,2
391,95,135
392,95,135
393,110,2
394,95,15
395,95,135
396,95,148
397,95,135
398,110,2
399,110,2
400,95,135
401,95,135
402,95,135
403,110,2
404,110,2
405,110,93
406,110,6
407,110,134
408,110,145
409,110,145
410,110,2
411,110,93
412,110,93
413,110,135
414,110,134
415,112,149
416,112,149
417,110,93
418,112,149
419,112,149
420,112,149
421,112,149
422,110,93
423,110,134
424,110,2
425,110,93
426,112,149
427,116,133
428,116,131
429,116,145
430,116,6
431,116,145
432,116,132
433,116,120
434,120,132
435,120,133
436,120,132
437,120,132
438,120,132
439,120,132
440,120,132
441,120,134
442,120,132
443,120,132
444,120,132
445,120,129
446,124,6
447,125,118
448,125,138
449,125,140
450,125,11
451,125,11
452,125,10
453,125,11
454,125,10
455,125,138
456,125,120
457,125,114
458,125,117
459,125,138
460,125,120
461,125,11
462,125,10
463,125,11
464,125,10
465,125,138
466,125,139
467,125,114
468,125,10
469,125,116
470,125,120
471,125,117
472,125,47
473,129,15
474,129,16
475,129,15
476,125,138
477,129,16
478,125,11
479,125,140
480,129,16
481,131,132
482,131,116
483,136,129
484,136,129
485,136,129
486,136,129
487,136,129
488,136,129
489,136,129
490,136,129
491,133,2
492,136,129
493,136,129
494,136,129
495,136,129
496,136,129
497,133,2
498,136,129
499,136,129
500,136,129
501,136,129
502,136,129
503,136,129
504,136,129
505,136,129
506,136,129
507,136,129
508,136,129
509,136,129
510,136,129
511,136,129
512,136,129
513,136,129
514,136,129
515,139,132
516,139,141
517,139,131
518,139,132
519,139,133
520,139,133
521,139,131
522,139,131
523,139,133
524,139,133
525,139,132
526,139,133
527,139,129
528,139,132
529,139,129
530,139,133
531,140,93
532,140,2
533,141,131
534,141,107
535,149,133
536,149,89
537,149,6
538,149,132
539,149,7
540,149,2
541,149,145
542,149,133
543,142,38
544,142,93
545,142,6
546,142,38
547,142,119
548,142,38
549,142,38
550,151,2
551,151,3
552,151,3
553,151,2
554,151,6
555,151,6
556,148,16
557,151,6
558,151,6
559,148,91
560,148,144
561,146,4
562,146,83
563,150,119
564,157,4
565,157,93
566,157,38
567,146,122
568,150,93
569,150,2
570,157,97
571,157,38
572,157,2
573,150,104
574,160,6
575,160,38
576,160,6
577,160,15
578,160,6
579,160,2
580,160,2
581,165,9
582,165,60
583,165,72
584,165,144
585,170,6
586,170,104
587,173,3
588,173,3
589,173,3
590,173,3
591,173,38
592,173,3
593,164,83
594,173,38
595,164,140
596,164,38
597,164,16
598,164,24
599,164,34
600,164,38
601,164,38
602,164,38
603,164,63
604,164,67
605,164,71
606,164,101
607,164,131
608,177,93
609,163,2
610,177,119
611,163,2
612,163,49
613,163,6
614,163,2
615,177,2
616,163,2
617,163,97
618,163,93
619,178,8
620,163,93
621,177,2
622,163,2
623,178,138
624,163,2
625,177,6
626,163,6
627,177,2
628,177,93
629,177,6
630,177,4
631,177,2
632,180,142
633,177,132
634,180,131
635,177,2
636,177,2
637,177,2
638,177,2
639,180,131
640,180,131
641,180,131
642,180,136
643,180,2
644,180,93
645,180,6
646,180,145
647,180,142
648,180,2
649,180,133
650,180,131
651,184,133
652,180,136
653,184,131
654,184,141
655,180,132
656,180,131
657,180,142
658,180,129
659,180,129
660,180,93
661,180,145
662,190,149
663,190,141
664,187,9
665,190,148
666,190,146
667,190,132
668,187,27
669,190,132
670,187,22
671,187,148
672,187,18
673,187,8
674,187,148
675,192,69
676,192,3
677,192,3
678,192,97
679,192,59
680,192,38
681,192,6
682,192,74
683,192,97
684,192,3
685,192,3
686,192,97
687,183,93
688,183,132
689,183,2
690,198,3
691,198,3
692,198,89
693,198,106
694,202,134
695,202,120
696,202,123
697,202,141
698,202,148
699,202,147
700,202,147
701,202,131
702,202,141
703,202,129
704,202,148
705,202,148
706,202,95
707,204,2
708,204,134
709,204,2
710,204,6
711,204,134
712,204,6
713,204,93
714,204,134
715,204,93
716,204,135
717,204,134
718,204,93
719,204,6
720,204,93
721,204,134
722,204,2
723,204,129
724,204,93
725,204,145
726,204,134
727,204,93
728,204,93
729,207,3
730,207,15
731,207,9
732,207,97
733,207,83
734,207,97
735,211,144
736,211,131
737,211,139
738,211,131
739,211,129
740,211,135
741,211,117
742,211,139
743,211,8
744,211,82
745,211,148
746,211,118
747,211,43
748,211,149
749,212,148
750,212,141
751,212,133
752,216,148
753,216,142
754,218,134
755,218,131
756,218,133
757,218,141
758,218,141
759,218,131
760,218,133
761,218,134
762,218,135
763,220,49
764,220,77
765,220,116
766,220,77
767,220,138
768,220,133
769,220,13
770,220,11
771,223,6
772,220,49
773,220,117
774,223,97
775,220,95
776,220,106
777,226,140
778,226,140
779,226,9
780,226,144
781,226,118
782,226,8
783,226,16
784,226,103
785,226,148
786,223,94
787,223,69
788,223,38
789,223,2
790,223,62
791,219,22
792,223,3
793,219,144
794,219,139
795,219,139
796,223,6
797,223,6
798,223,38
799,219,118
800,223,97
801,223,97
802,223,38
803,234,144
804,234,149
805,234,143
806,234,131
807,234,8
808,234,16
809,234,139
810,234,5
811,234,102
812,234,140
813,234,117
814,232,2
815,232,83
816,232,136
817,232,106
818,232,7
819,232,10
820,232,24
821,232,6
822,232,38
823,232,6
824,232,46
825,232,38
826,232,48
827,232,3
828,232,83
829,232,104
830,232,6
831,237,38
832,237,3
833,237,2
834,237,38
835,232,38
836,237,38
837,232,16
838,232,93
839,232,86
840,237,3
841,232,2
842,240,131
843,240,8
844,240,40
845,240,149
846,240,116
847,240,119
848,240,5
849,240,147
850,240,144
851,240,133
852,240,5
853,240,133
854,240,134
855,245,131
856,245,135
857,245,131
858,245,132
859,247,60
860,248,132
861,248,141
862,248,139
863,248,8
864,247,93
865,248,148
866,248,147
867,247,48
868,248,133
869,247,46
870,248,131
871,248,132
872,248,117
873,248,117
874,248,139
875,248,117
876,248,132
877,248,132
878,248,140
879,248,132
880,248,133
881,248,117
882,248,143
883,248,143
884,254,7
885,254,4
886,254,74
887,254,79
888,254,12
889,258,129
890,258,38
891,258,117
892,258,133
893,258,8
894,258,129
895,258,120
896,258,93
897,258,7
898,258,10
899,258,9
900,258,133
901,258,31
902,258,8
903,258,16
904,258,7
905,258,114
906,258,142
907,258,7
908,258,146
909,259,6
910,259,6
911,259,2
912,259,2
913,259,6
914,259,6
915,259,93
916,259,6
917,262,6
918,262,2
919,267,93
920,267,93
921,267,142
922,267,131
923,267,136
924,267,136
925,267,93
926,270,129
927,267,145
928,267,93
929,267,93
930,270,129
931,270,129
932,270,129
933,267,142
934,270,129
935,270,129
936,267,136
937,267,2
938,272,145
939,278,129
940,278,129
941,278,132
942,278,132
943,272,2
944,278,134
945,272,131
946,272,136
947,272,142
948,278,131
949,272,2
950,278,131
951,278,129
952,278,142
953,278,142
954,281,16
955,278,131
956,278,132
957,278,131
958,278,145
959,278,142
960,278,145
961,281,16
962,278,131
963,286,97
964,286,2
965,286,6
966,286,6
967,286,2
968,286,2
969,286,2
970,286,97
971,286,2
972,286,38
973,286,2
974,286,2
975,286,2
976,286,93
977,284,19
978,284,93
979,284,38
980,283,6
981,283,6
982,283,93
983,284,93
984,284,93
1,3,6
2,3,38
3,3,7
4,3,8
5,3,9
6,3,132
7,3,10
8,3,11
9,3,9
10,3,12
11,3,6
12,3,38
13,5,2
14,5,6
15,5,145
16,5,6
17,5,145
18,5,6
19,5,145
20,5,145
21,5,145
22,5,6
23,5,6
24,5,2
25,4,6
26,4,6
27,4,6
28,4,6
29,4,6
30,4,6
31,4,6
32,4,6
33,4,6
34,4,6
35,4,6
36,4,6
37,4,6
38,4,6
39,4,6
40,5,11
41,4,6
42,4,6
43,5,145
44,4,6
45,4,6
46,4,6
47,4,6
48,4,6
49,4,6
50,4,6
51,6,133
52,6,147
53,6,148
54,6,148
55,6,148
56,6,148
57,6,148
58,6,148
59,6,148
60,6,148
61,8,148
62,8,143
63,10,7
64,10,6
65,10,6
66,10,10
67,10,15
68,10,10
69,10,11
70,10,6
71,11,9
72,11,138
73,14,19
74,14,93
75,14,137
76,14,69
77,14,49
78,14,122
79,14,60
80,14,74
81,14,80
82,14,81
83,14,81
84,14,82
85,11,97
86,11,38
87,11,69
88,11,38
89,11,38
90,11,15
91,11,74
92,11,74
93,11,120
94,11,83
95,11,9
96,11,73
97,1,20
98,1,78
99,1,133
100,1,120
101,1,16
102,1,45
103,1,11
104,1,145
105,1,121
106,1,15
107,1,11
108,1,129
109,1,143
110,1,133
111,1,139
112,1,9
113,1,133
114,1,144
115,1,119
116,1,40
117,1,17
118,11,74
119,11,74
120,11,85
121,24,134
122,24,9
123,24,131
124,24,15
125,24,7
126,24,132
127,24,7
128,24,129
129,24,10
130,24,129
131,24,132
132,24,7
133,32,144
134,32,132
135,22,38
136,28,148
137,32,129
138,21,60
139,32,117
140,21,2
141,28,93
142,28,148
143,32,140
144,19,77
145,22,6
146,28,148
147,22,15
148,22,47
149,22,97
150,22,6
151,22,6
152,22,70
153,28,2
154,28,2
155,22,98
156,22,2
157,22,93
158,22,37
159,22,47
160,22,38
161,22,70
162,22,2
163,22,2
164,22,6
165,22,110
166,22,110
167,22,93
168,33,142
169,23,93
170,33,136
171,33,145
172,33,93
173,23,6
174,23,2
175,23,2
176,23,2
177,23,6
178,23,6
179,23,6
180,23,93
181,23,93
182,23,2
183,23,2
184,38,2
185,38,2
186,43,93
187,23,93
188,38,2
189,38,2
190,38,2
191,38,93
192,38,93
193,38,6
194,43,93
195,43,2
196,43,93
197,43,93
198,43,15
199,43,15
200,35,93
201,26,142
202,23,142
203,38,2
204,35,93
205,26,6
206,42,93
207,42,132
208,42,149
209,45,129
210,45,139
211,45,9
212,45,147
213,45,8
214,45,129
215,42,134
216,42,2
217,42,6
218,45,11
219,5,93
220,5,2
221,5,93
222,5,2
223,5,145
224,5,2
225,5,145
226,5,145
227,59,134
228,34,9
229,54,11
230,53,147
231,5,93
232,59,135
233,59,133
234,5,2
235,34,103
236,47,145
237,34,105
238,5,93
239,52,123
240,59,129
241,52,38
242,59,134
243,52,38
244,52,97
245,59,129
246,54,124
247,52,79
248,52,26
249,59,133
250,61,146
251,61,146
252,61,133
253,61,143
254,61,135
255,54,9
256,54,146
257,54,11
258,54,7
259,54,9
260,54,10
261,54,7
262,61,144
263,54,9
264,60,135
265,60,13
266,52,70
267,52,93
268,52,3
269,52,31
270,52,38
271,52,83
272,68,119
273,67,148
274,65,132
275,67,46
276,67,60
277,67,15
278,67,15
279,67,62
280,67,9
281,67,120
282,67,52
283,67,77
284,68,117
285,71,132
286,71,131
287,68,93
288,68,16
289,68,95
290,71,132
291,68,44
292,71,134
293,71,129
294,76,2
295,76,119
296,76,6
297,76,13
298,76,133
299,76,12
300,76,11
301,76,2
302,76,131
303,76,94
304,76,93
305,67,79
306,67,148
307,67,134
308,67,125
309,77,2
310,77,2
311,74,119
312,74,117
313,78,97
314,77,38
315,77,55
316,77,70
317,77,2
318,77,2
319,74,8
320,78,97
321,78,93
322,79,83
323,77,3
324,77,38
325,77,2
326,77,70
327,79,93
328,79,3
329,79,6
330,79,145
331,83,105
332,83,15
333,80,38
334,84,58
335,8,146
336,8,131
337,83,148
338,83,74
339,83,129
340,84,88
341,8,17
342,96,17
343,95,135
344,83,43
345,98,38
346,95,49
347,98,38
348,83,148
349,92,15
350,83,11
351,83,11
352,62,145
353,81,97
354,96,6
355,80,3
356,96,122
357,96,93
358,80,38
359,96,49
360,96,45
361,95,110
362,80,3
